,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Truth Tmax p95 (deg C),Dew point mean (deg C),Solar radiation mean (MJ m-2 day-1),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Temperature regime,Humidity regime,Cloud regime,Hot and cloudy,Hot and humid,Cool and cloudy
2022-07-25,1.5113189,1.1677784,0.12219705,0.8831610581304619,1.308761,1.0455942,0.4881097,0.9190166569589728,1.324243,1.0602173,0.36846116,0.9107951770292992,28.165195,33.850006103515625,19.215254,0.7572179,-0.015481949,False,True,True,Hot,Humid,Cloudy,True,True,False
2022-07-26,1.38571,1.0990148,-0.46460307,0.8149801817447727,0.9296038,0.76763195,0.13945642,0.9058644760526153,0.91416466,0.7467995,0.035699025,0.9033730627589249,25.37517,28.550018310546875,14.658693,0.75597167,0.015439153,True,True,True,Moderate,Moderate humidity,Cloudy,False,False,False
2022-07-27,1.394866,1.0750734,-0.43798852,0.8221804803360769,0.8321006,0.6638863,0.06011975,0.9279476256948525,0.8265832,0.6708742,-0.023675138,0.9286104335346209,27.596174,31.350006103515625,15.906477,0.8204676,0.0055173635,True,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-28,1.5424932,1.1648713,-0.5242695,0.8234566788836019,0.8527937,0.67551136,-0.2822835,0.9362571877139838,0.8550765,0.66746956,-0.32747868,0.9381188826414187,29.428272,33.25,18.987621,0.81762815,-0.0022827983,False,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-07-29,1.5567675,1.2068108,-0.6986431,0.8532287156507157,0.95789456,0.76997626,-0.22620948,0.9339884819904406,1.0514363,0.84403974,-0.3131879,0.9234125727919303,27.874184,32.45001220703125,17.655428,0.79530823,-0.09354174,False,True,True,Moderate,Humid,Partly cloudy,False,False,False
2022-07-30,1.2860913,0.9968893,-0.3761078,0.9310539178726575,0.7911091,0.6333364,0.06644587,0.9692476196454662,0.79408276,0.6338858,-0.008010402,0.9683500871827115,26.847847,31.149993896484375,14.82427,0.9621725,-0.0029736757,False,True,True,Moderate,Moderate humidity,Sunny,False,False,False
2022-07-31,1.4346104,1.0701731,-0.20538709,0.8012394783188315,0.9026339,0.687938,0.26643643,0.9302723477729201,0.9059356,0.6804181,0.17985502,0.9270099435403735,27.049847,30.850006103515625,15.638211,0.8211952,-0.00330168,False,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-08-01,1.362086,0.9958523,-0.3325609,0.7547002661183542,1.0038031,0.7596315,0.059220288,0.8604629246102066,1.0215635,0.7887507,0.025589904,0.8574384232540986,27.876526,30.550018310546875,17.521027,0.84088135,-0.017760396,False,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-08-02,1.4208913,1.0435722,-0.3792276,0.8852467077690239,0.95281786,0.75943446,-0.11172776,0.9357466598842048,0.9562865,0.771588,-0.21900897,0.9385526412880186,29.1012,32.850006103515625,18.46508,0.8656819,-0.0034686327,False,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-08-03,1.3833644,1.0203538,-0.1946634,0.8560930703464104,0.79918987,0.623233,-0.12094069,0.9423281598953149,0.7911276,0.61860144,-0.1509498,0.9422618388308266,29.83424,32.95001220703125,15.892686,1.1109376,0.008062243,True,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-08-04,1.7253335,1.2657248,-0.062023,0.8189892524365291,1.3435887,1.1016208,-0.26187795,0.8902163361573503,1.2660295,1.0333449,-0.24804696,0.9018787652964638,31.539204,35.45001220703125,19.29132,0.9276327,0.07755923,True,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-08-05,1.9112487,1.5040089,-0.7277864,0.7363771883030977,1.1659693,0.9544501,-0.53618455,0.880263019397436,1.2116654,0.9948032,-0.63656044,0.8832471900248539,30.153255,33.25,20.391119,0.78192014,-0.04569614,False,True,True,Hot,Humid,Cloudy,True,True,False
2022-08-06,1.5390316,1.1439592,-0.14817996,0.6115969532952357,1.0254787,0.83667153,-0.26932916,0.806346049032636,0.9905361,0.8021084,-0.2308299,0.8158431278407842,30.680027,33.45001220703125,20.113964,0.85666627,0.034942627,True,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-08-07,1.5173459,1.1710206,-0.34475338,0.6681200209269078,1.0790241,0.8906723,-0.518875,0.8404709043602817,1.0858746,0.8864905,-0.4758452,0.8316525945180642,31.288198,33.75,21.173744,0.8576309,-0.006850481,False,True,True,Hot,Humid,Partly cloudy,False,True,False
2022-08-08,1.8706481,1.3259757,-0.018880399,0.9296859376854849,1.9619906,1.3961183,-0.014875984,0.9389901811798353,2.154564,1.52468,-0.054266706,0.9268342451638971,29.73359,34.45001220703125,20.46258,0.7784568,-0.19257331,False,False,False,Hot,Humid,Cloudy,True,True,False
2022-08-09,1.7165688,1.2969353,0.044118006,0.9576155536917761,1.6679755,1.2589124,0.3907508,0.9643783890140953,1.7235136,1.3484001,0.25537944,0.962723090979628,27.728384,35.050018310546875,19.621447,0.6560455,-0.05553806,False,True,False,Moderate,Humid,Cloudy,False,False,False
2022-08-10,1.3122461,1.0462028,-0.3319484,0.9482014575510956,1.0496761,0.8308529,0.173214,0.9645416279212984,0.93539846,0.72555864,0.18553184,0.9726403474215956,26.260336,33.050018310546875,17.02795,0.63476104,0.1142776,True,True,True,Moderate,Moderate humidity,Cloudy,False,False,False
2022-08-11,1.40316,1.1110095,0.062056705,0.8845708405963129,1.062009,0.84885174,0.5422259,0.9394279398911882,1.0278986,0.81812066,0.46969295,0.9357416440350643,26.729109,30.75,15.842475,0.8302889,0.034110427,True,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-08-12,1.1992784,0.9224693,-0.121273175,0.9300295356017562,0.9373138,0.7595703,0.41034806,0.9641783207942345,0.8535221,0.66606474,0.32290462,0.9671863430490337,24.552824,28.75,11.47835,0.96612257,0.08379167,True,True,True,Cool,Dry,Sunny,False,False,False
2022-08-13,1.1301914,0.8798513,-0.23963544,0.8781775059082401,0.835651,0.6694994,0.31290215,0.9457751918285396,0.7796097,0.6178001,0.2618154,0.9446889393089739,24.783806,27.850006103515625,9.837657,0.9433558,0.0560413,True,True,True,Cool,Dry,Partly cloudy,False,False,False
2022-08-14,1.5553027,1.2123653,-0.36475325,0.7547925996668728,0.9755708,0.75849366,0.16349845,0.8920884125799773,0.9159348,0.6962596,0.070416555,0.898023964659482,26.104925,28.95001220703125,11.401467,0.86800015,0.059635997,True,True,True,Moderate,Dry,Partly cloudy,False,False,False
2022-08-15,1.7355407,1.3410592,-0.023076577,0.8582883789846462,1.6328948,1.1552829,0.5248773,0.91427157960658,1.6311164,1.1509514,0.46076837,0.9212939206337034,25.103336,29.050018310546875,13.15329,0.7135174,0.0017783642,True,True,True,Cool,Dry,Cloudy,False,False,True
2022-08-16,1.539117,1.1835456,-0.43224818,0.739236199719801,1.1412109,0.78460073,0.13024436,0.8420290297148162,1.1559832,0.8070873,0.025933968,0.8349999634101722,26.244759,28.850006103515625,13.590088,0.80179113,-0.014772296,False,True,True,Moderate,Dry,Partly cloudy,False,False,False
2022-08-17,1.4369639,1.1393194,-0.36415365,0.8560806896053915,1.0829673,0.84971976,0.29925662,0.9242972640057341,1.1481236,0.868282,0.23613381,0.9202256510954233,24.31289,27.850006103515625,14.235033,0.6195478,-0.06515634,False,True,True,Cool,Dry,Cloudy,False,False,True
2022-08-18,1.3803896,1.063959,-0.5799731,0.9438678292056935,0.93094844,0.7183074,0.0064054923,0.9683313583651176,0.8976311,0.69479,-0.072199345,0.968385278899785,25.24987,29.75,14.394479,0.68853986,0.033317327,True,True,True,Cool,Dry,Cloudy,False,False,True
2022-08-19,1.4686545,1.0918208,-0.3208864,0.8197798722689486,0.8640226,0.68804014,-0.026882574,0.9373877002924543,0.9506166,0.7703481,-0.14067642,0.9285522566298254,28.623293,32.25,14.9279785,0.8699207,-0.086593986,False,True,True,Hot,Moderate humidity,Partly cloudy,False,False,False
2022-08-20,1.6519991,1.2023239,-0.3798072,0.6315434404760617,0.94258773,0.7492799,-0.35162973,0.8619837558870524,0.93289477,0.74788463,-0.39551866,0.8705881838820138,30.131386,32.95001220703125,16.070358,0.87224144,0.009692967,True,True,True,Hot,Moderate humidity,Partly cloudy,False,False,False
2022-08-21,1.745784,1.3169363,-0.7431442,0.7364357638543788,1.1278855,0.9115632,-0.28264067,0.8535319363302326,1.1551766,0.9353332,-0.38273972,0.8540289941208966,27.72089,30.95001220703125,17.633038,0.704113,-0.027291179,False,True,True,Moderate,Humid,Cloudy,False,False,False
2022-08-22,1.6878031,1.3432605,-0.88175905,0.8291146169427986,1.0379449,0.8367618,-0.24425589,0.9142611007338287,1.0852666,0.87354314,-0.30080155,0.9018859282927189,25.673853,29.850006103515625,18.63122,0.52086943,-0.047321677,False,True,True,Moderate,Humid,Cloudy,False,False,False
2022-08-23,1.60858,1.2981011,-0.49361098,0.8749902708724056,1.1080897,0.8930639,0.12441168,0.9316955135005934,1.0358527,0.827012,0.033786204,0.933582998260404,25.825878,30.350006103515625,18.124062,0.65652853,0.072237015,True,True,True,Moderate,Humid,Cloudy,False,False,False
